rank,arab,exchange_art_url,score
42,ArabPunkz #3067,https://exchange.art/single/BYB4pwQ31exrAJjyqKwNDnsmyV9YwRv8cENWGGWPMg4m,0.00000006321700568074%
43,ArabPunkz #2270,https://exchange.art/single/6s39sYPn6buZG9659npPdZzZFNrkBeUcKMMH76M7pyCQ,0.00000006332824808744%
44,ArabPunkz #2545,https://exchange.art/single/H9922evqeB9DyhngGXpfbaY17opUttbopRj6sUehicrp,0.00000006424451695240%
45,ArabPunkz #3942,https://exchange.art/single/4qWgFwjk9qarz7e6NCKBao3Fp6zix7zXTEXKSqoz7yC5,0.00000006479798147355%
46,ArabPunkz #1659,https://exchange.art/single/DR6xq2h1TFn15znb8szvSQqzFDGZP2usGv1XDuHY3m2x,0.00000006580670225675%
47,ArabPunkz #2304,https://exchange.art/single/48iukoXR1d1aETH1wRMK5UXntKHN7swPYna7gAtJ6dgb,0.00000006703943021599%
48,ArabPunkz #4698,https://exchange.art/single/4kEykP2tMW2QM7p7wcBaFf2AYiw5QPGDAPhc1HP5Bdr8,0.00000006818897336752%
49,ArabPunkz #1656,https://exchange.art/single/BaG182fQcTF1Ei4dKGTVpKcXsiVWbYB3RDKvX7THpAMn,0.00000006823042948732%
50,ArabPunkz #3093,https://exchange.art/single/2rtZ9SmVGefvQ2fBLMmiNmhmjvXDLXFDt8npKTPaMdiC,0.00000007607101863973%
51,ArabPunkz #2463,https://exchange.art/single/D87VJBPjDenRtbNxc5TjrxsAakbJuNZMMhF6SeKd4rKT,0.00000007743134661890%
52,ArabPunkz #3700,https://exchange.art/single/8sm2TsLByJouQsSEtvsTN3xbAsYvZaxfxZTybxNqEDG6,0.00000007856543839794%
53,ArabPunkz #4332,https://exchange.art/single/F7s9jD16J9UaBeWjRjbtNNnFXPeyieNci5FSZSJtWbjF,0.00000007952844736056%
54,ArabPunkz #2247,https://exchange.art/single/GvAPd8YvBYqEyLnAW3s8XvtSE9yWodu4mW3yvbKcztP,0.00000007997550690081%
55,ArabPunkz #362,https://exchange.art/single/7EUocQ4zMyrZGyBLxQYcZ7Z57VKpBwRee7axYoP7KoPQ,0.00000008146964622960%
56,ArabPunkz #3585,https://exchange.art/single/ENSJxHYAcGQ1HULeWJEks1bBU5XnPSWUgpqbNsXEJkAn,0.00000008219685642412%
57,ArabPunkz #1738,https://exchange.art/single/7Hi1MMC8tV8azpPFZzoXYkKcxRbYKEuP8De6emmX18W,0.00000008351569247567%
58,ArabPunkz #606,https://exchange.art/single/HZ95kJaVZuXEZnMYCjthmzXs1XB5LV5DYLwAYw1oa8LA,0.00000008399017667754%
59,ArabPunkz #4449,https://exchange.art/single/HTqJyRwtdbQ8FXMNEnhMpuwgJUaU6wzTPvYFcVQBpCWe,0.00000008467697453468%
60,ArabPunkz #4458,https://exchange.art/single/XQpn2L9vzukd5gSGN3XsqA8Db5auY1ixeW7z6GiqipG,0.00000008662683583362%
61,ArabPunkz #2899,https://exchange.art/single/92KtDDSx8VCbqiYaQ7RjFEjxUaoqotSTJNgM7cwEkf7c,0.00000008682215051406%
62,ArabPunkz #753,https://exchange.art/single/48sRNL2nAYuZ5Eiz3wQHYP39Qt2MYvDCbfSU9pnFDyMf,0.00000008747842172956%
63,ArabPunkz #1687,https://exchange.art/single/9ourP3WXj2ZF6gwQucnFiX4syUaA4eGUAiKc8pFvCxtF,0.00000008827225145506%
64,ArabPunkz #3284,https://exchange.art/single/8kN7mPtviTsM1ZMRsW7d7CZ7kEkFs3tL8c4ZNiS8hLaf,0.00000008857947792237%
65,ArabPunkz #4633,https://exchange.art/single/8Pi2cXn5VUukKVrFoFkdcsLeg4BpCMgqaSgMTRsA1XPv,0.00000008880675419536%
66,ArabPunkz #3002,https://exchange.art/single/EhNoSqdm4pjYikqoeRo5jCp8FsmCtb8SBgbVCbnfmbre,0.00000008887214255360%
67,ArabPunkz #2968,https://exchange.art/single/89ZTefmvJqY9xCt3heUheCdfDqNTGQ5a6b78Uz1dQESf,0.00000008965034091392%
68,ArabPunkz #1409,https://exchange.art/single/A74n2Z3Yz6cybD1D231eUAdYho7ARytUc4teCvYxcfi9,0.00000009041821895972%
69,ArabPunkz #473,https://exchange.art/single/8HkiUxxC2N4Ex16aiYvuYtNYTgQw7zFJgTwCXL6u7RX8,0.00000009320921682536%
70,ArabPunkz #3857,https://exchange.art/single/ALq41o7y8FtecwKn8TrkK4M4amFHnLhs4jSFu3zvU3pg,0.00000009447599785383%
71,ArabPunkz #4158,https://exchange.art/single/ExReFur9mjQnXKsaLh8V4VFictmwn5mAjC6ArTSituZ5,0.00000009464875813336%
72,ArabPunkz #426,https://exchange.art/single/24gxePSvjhcHLJcybYeaC7NR4fhyqNh4HxBRzYzgWPqw,0.00000009715048779121%
73,ArabPunkz #2492,https://exchange.art/single/9J1UJi1eKDNy7McSvQEZo6HKrXp6wUMNZjYGEP3WRHd,0.00000009790157296830%
74,ArabPunkz #1494,https://exchange.art/single/EzpJ4FZuqXurgH59SnjY4AKr2qNH52HC86wgwK3quPdE,0.00000009905632260002%
75,ArabPunkz #1386,https://exchange.art/single/GZYVMN61KzfRMrK9NSQp4Qe924Sav1gMGfF2JLshWkeA,0.00000010011954296759%
76,ArabPunkz #670,https://exchange.art/single/Dz1PiNkj3UP9CzGQ9TnZ5yu9nf2kvPvUntpMKHSfx53P,0.00000010086600589096%
77,ArabPunkz #1437,https://exchange.art/single/Ek6swDYmQHG2FCwG5VX9W2Qt843RFZfXdtMCS43wv5xK,0.00000010091222091490%
78,ArabPunkz #2731,https://exchange.art/single/9QE3jUm5SGojnSfBbsSnQWvNxTdkYNQCHV3h6xDzYQcQ,0.00000010094658561284%
79,ArabPunkz #3510,https://exchange.art/single/7qasS6WTNw6EakxumKLh57mMMBH1cH9p7a9hgfk7QhzN,0.00000010415722164658%
80,ArabPunkz #216,https://exchange.art/single/8jm9j9Dz7JbfkiWMWqAzkvrqPr8UAn5pXzzg8Cu1nMH4,0.00000010443330310783%
81,ArabPunkz #1136,https://exchange.art/single/6ZHN3fN44G73518zNQseimcg94EVYs5q2QVA3F5JJAhk,0.00000010680522691584%
82,ArabPunkz #325,https://exchange.art/single/B8EfmpLMHgcWMccCNoM2vZX2ornaSAtmVLFRsDka1vxU,0.00000010683902923931%
83,ArabPunkz #3145,https://exchange.art/single/2jLT56TypXH3y37ZZPL4fDkJTGaKiWd4UtfxawhpmTWq,0.00000010998038648038%
84,ArabPunkz #4821,https://exchange.art/single/FHGEmkSAmwMLuNHVCZEY7sCehJ2eLTqTrbz4BniL29mc,0.00000011115325259270%
85,ArabPunkz #1072,https://exchange.art/single/2mfrFeHVEye2zFW7gbuYKF6xXkTGR7inswNhzqHdaHSB,0.00000011140242506399%
86,ArabPunkz #3944,https://exchange.art/single/H9hV9LSEcoWuSu7dpbLhtSBc732pkGQTrtQfiKA25hQB,0.00000011179165568444%
87,ArabPunkz #4753,https://exchange.art/single/CrLKL4MAcptLhoiTktMc82eLqN9K7QVTvLuSsKDhNj25,0.00000011408797403095%
88,ArabPunkz #273,https://exchange.art/single/2zMx2uhwoStyXDygTbFKNditJLFSzhW7WgpbNxVB8BBn,0.00000011603600396239%
89,ArabPunkz #350,https://exchange.art/single/EzGvCHDxnX59257EhRfNPJQbsTr1Th7EJQVeVxfrfuVJ,0.00000011671830716845%
90,ArabPunkz #1327,https://exchange.art/single/xaV1ZAdAHfh5uZgcie9Xkf3fyFwmWHx67o3DPniW5CA,0.00000011982314956160%
91,ArabPunkz #3520,https://exchange.art/single/6tj4qiHmu2GooJVBMYdHxsDVWEpQBy7rPZKZPt61dFSu,0.00000012130719510607%
92,ArabPunkz #3596,https://exchange.art/single/2Z8KnjQGjbtgbP2fCYsHPH5c4cdaovyW3cC8phkJNTLv,0.00000012141422636239%
93,ArabPunkz #2784,https://exchange.art/single/C2RkjY3t792LxbaFBF3N2djkK8D8XYkJMPbd5qoYByXZ,0.00000012155497397930%
94,ArabPunkz #3831,https://exchange.art/single/37CehNZjHuX6S4vDJqWGUKqegDSxXKkWj2FqShpw2GvH,0.00000012698953482452%
95,ArabPunkz #1352,https://exchange.art/single/E3ZtkseK1T6mkf2nJsdU26NQz8XcjZHkAYb5eRNWkt54,0.00000012728821311276%
96,ArabPunkz #2074,https://exchange.art/single/AvLKhAQQNWmpxpeKQNfBYrrQLLsRUf1rWCFfxUe7pfJj,0.00000012738325597282%
97,ArabPunkz #1552,https://exchange.art/single/9oRrMvCoWPYL52UYbwqo941U7SWUhkVu8HTmiMPxss7A,0.00000012743540955960%
98,ArabPunkz #496,https://exchange.art/single/CfU9L9shmsZ2kAdQTkwMfdS3Hx8WHeZN49pxvaCCnjUH,0.00000012823500426676%
99,ArabPunkz #3929,https://exchange.art/single/5WmcUsDi2jCsAHqBMwFtMzEHMCpR5nkbhNZCFs8dYGY6,0.00000012991197668101%
100,ArabPunkz #454,https://exchange.art/single/Aei6S9QC7f91qpsz3EFNd3SbDCgW6Hvdpq5HVd4YehhZ,0.00000013039239827033%
101,ArabPunkz #4648,https://exchange.art/single/BCUxKJj8ZnuDBbKtvymSma4oonhfiJ5nkohhoaay1WnM,0.00000013117470152209%
102,ArabPunkz #1362,https://exchange.art/single/7N3Dw1j73hs5vWa6fhXTQRAYivDyTqWHix1K936ar7km,0.00000013261143756173%
103,ArabPunkz #2215,https://exchange.art/single/FF65Tngr5YSLWYiyBiJtz3gwL2MtcYQcx9DoQQZecg3D,0.00000013378004979551%
104,ArabPunkz #3695,https://exchange.art/single/9Nbh41GpDiPt7FoM1weTtETMjuotPTgm6xrTFguKRRCo,0.00000013733336986800%
105,ArabPunkz #4068,https://exchange.art/single/7FAMP7U4shdAU3C4zZdYTUgQHh5dS3UMWvWrcjryQTJ,0.00000013810907161971%
106,ArabPunkz #123,https://exchange.art/single/GAkhU1FKewuiquR45opCQ6LCSdkCEdFqAAEZ7zEzzGBz,0.00000013885927035960%
107,ArabPunkz #2857,https://exchange.art/single/28sgeg3oVEAtPrnp8P6MHRWLB3KQYEE6AVouonzh5KGQ,0.00000013999220398535%
108,ArabPunkz #1757,https://exchange.art/single/Ftg6QwCJSM19HMS33gaizvq78b5J9C2QZ7STgNw5HoT5,0.00000014021104637912%
109,ArabPunkz #1724,https://exchange.art/single/9uts238MM4xkCon6DpmwrgPsmVmkfTwRMsoEkgHMpcm,0.00000014150314068463%
110,ArabPunkz #4917,https://exchange.art/single/4zWNSYHbarBWLYsispLE7iSsnJqUazPwZkQqRKAEPTUu,0.00000014362939032770%
111,ArabPunkz #2742,https://exchange.art/single/AnSNqfcPoGaoTdA9iuz3HAnwkEKWGwWR1ciWQAZt3f3,0.00000014832532513314%
112,ArabPunkz #4052,https://exchange.art/single/3Jc7E8ySNRaB7Kdhx9qpyQpmXEHgjxKc821dRyTAw9Kf,0.00000014840660957746%
113,ArabPunkz #4153,https://exchange.art/single/DdQyuWbsU4chwB8ns3dcUTdQvMJeqw842QxpB6KXkTNC,0.00000015140020245807%
114,ArabPunkz #3084,https://exchange.art/single/CohwepSupjSkBnx61bB7Be78mfFdTzu8EEk8HmsSqpMQ,0.00000015342876433408%
115,ArabPunkz #4459,https://exchange.art/single/G9kyC6AVkd3oxyfwshFfe7EUPaEyWBVLRyhUF6i6aGBw,0.00000015419746700806%
