rank,token,image_url,rarity score
1,Habibti #3156,https://arweave.net/qn9Eht5h1MWWQBWWELXTdlMbGkmeN5gXPEv1Sgrt07I?ext=png,0.00000000000155481360%
2,Habibti #4837,https://arweave.net/uFusetboqXlwCEy6zGirWAM7c3sIgFBSddoNkA47H3o?ext=png,0.00000000000348041172%
3,Habibti #2177,https://arweave.net/8kpi7TEPifT8AZCHzEy9_CMFr3Jni8AV6vOAhjtxdFY?ext=png,0.00000000000425902785%
4,Habibti #3161,https://arweave.net/EeXcO7-wjrDIEuU3X5_vOXCyrkubTAphvi0AF64IM9g?ext=png,0.00000000000449399604%
5,Habibti #2630,https://arweave.net/-okO0YJKeEqh5-dJhz7ODAa3mIun9rxrphT5lzR1ulQ?ext=png,0.00000000000568535710%
6,Habibti #2815,https://arweave.net/rGy_Js3ghbxKSsvJoU6UuWzXUjOMy-SAarJVAxaE1Fk?ext=png,0.00000000000908616432%
7,Habibti #2338,https://arweave.net/pQam4jSB7vPITpPbLi4HIKe-VfyqW-SatMGa_TC1AOQ?ext=png,0.00000000001293833126%
8,Habibti #1208,https://arweave.net/TJdVjBIk9TEZBX0dQEEb3AnOr2TxiHm5uU_MfwcPizs?ext=png,0.00000000001519059162%
9,Habibti #3724,https://arweave.net/37fdV28fGBBebP1U8NuFHJKLRssTmD3Rz_vl4MpqRwI?ext=png,0.00000000001977744429%
10,Habibti #4490,https://arweave.net/fcAZQLlAQv9CL7ISfxoP6CjmnycMoXiSHzqK3CN44CI?ext=png,0.00000000002612019707%
11,Habibti #1739,https://arweave.net/qRKt7l1fcsR1d6jHm2-iSV1zf35WyK0xa3XdLTWkCjU?ext=png,0.00000000002773428671%
12,Habibti #2672,https://arweave.net/HEIjZUgJHuHy3YjAJrOsU3gXzEXggK3CEWZfEEMCX_0?ext=png,0.00000000002978551599%
13,Habibti #1759,https://arweave.net/zsnT5KOHXXjspw3_ICoLWKWfNVPNNa2CZoTyTVrXmG8?ext=png,0.00000000003804417815%
14,Habibti #4939,https://arweave.net/hu8TUOKC0jj-r_M5bmzWuTKGPk5rmmkvb16J-89ckWI?ext=png,0.00000000004509429640%
15,Habibti #4350,https://arweave.net/qpFIBtcvDRcOPH6SbgwsbP6Kp40X1WNg-Pr6qcbPWoc?ext=png,0.00000000004920092772%
16,Habibti #880,https://arweave.net/1RlhVxR_gUPkW_Wdwf4RcuXR8QV07M8RPhdPQNY9mXc?ext=png,0.00000000005239978363%
17,Habibti #1025,https://arweave.net/Z0TWB1qJZYvmM0lExstKoqrwtpGzkPkDbLcF-P2jpKg?ext=png,0.00000000005545189425%
18,Habibti #2830,https://arweave.net/EznSJWAp2y5SSWoYiU-qdkbNaT1wXunQ305Q5EYD7dk?ext=png,0.00000000006368406719%
19,Habibti #2472,https://arweave.net/0p06WmRh01A7owUpYreh_A1bfOKKoKYn58W2FdsQbbk?ext=png,0.00000000007113648248%
20,Habibti #2758,https://arweave.net/YAfxL8J91kS_rlPNNGl6G3GEsuNOfAs0xMWEOUaWUaU?ext=png,0.00000000007761804184%
21,Habibti #2844,https://arweave.net/tIMduE-KicZFZUMe3qZDY9et_c6qYaBJ_V-FPaeCGhM?ext=png,0.00000000007952515186%
22,Habibti #2089,https://arweave.net/R17Tx6BJXVKsbTaWR6P6qwuO6jZBx_lIAadZP9ZE2cM?ext=png,0.00000000008111221727%
23,Habibti #233,https://arweave.net/O9pPY-ORzlQzwcEGVab2kqynnFE-GqclVDcat_Boy-Q?ext=png,0.00000000008266450213%
24,Habibti #396,https://arweave.net/voQQz-iH-bfMO-sN2zvJNrMKPu1BHv7bPdkvVAnEwuY?ext=png,0.00000000008981203834%
25,Habibti #1845,https://arweave.net/GOojO45bNj8Ge0nMAKd3Xfx1fL5qVsfjyGVrsLoZ3GE?ext=png,0.00000000010119277073%
26,Habibti #4995,https://arweave.net/56tjL7b49kA16IMJnFok8iNFfeDxNahSp_7Q-Fmpsz8?ext=png,0.00000000010217808463%
27,Habibti #2401,https://arweave.net/S1A47isj-mVyaQvI7G5tjbaAGqRwENbwPQaKCCRcgks?ext=png,0.00000000010525009304%
28,Habibti #407,https://arweave.net/3C_ZlmXkyTI3Af5ar3UCPhejJaNCk2JnmEBwCnbWOOY?ext=png,0.00000000010836034394%
29,Habibti #958,https://arweave.net/H5SUpVkH7LjS8n-Q4UsBW0hfIbWssDTa4ejmjAGH5ME?ext=png,0.00000000011265418224%
30,Habibti #2657,https://arweave.net/80hFSK_9dq5yttxzTA9bJO-INi96-WQJHe09Jw0tFEY?ext=png,0.00000000011589985546%
31,Habibti #4661,https://arweave.net/wVyVKYzIjVV4HZcfc5NlNe5T9FAhhKq4xAXuYaiTKYA?ext=png,0.00000000012102381676%
32,Habibti #3687,https://arweave.net/pcziyFSog-isE49uhudwTQ7duoChW2Oyxv5AWtGwFp4?ext=png,0.00000000013217781556%
33,Habibti #101,https://arweave.net/Bt8GCcMgl0TGsDoStH6_roDBrSo6XUr2tuZZjUcdf-o?ext=png,0.00000000014540514711%
34,Habibti #2547,https://arweave.net/DdnF4f6emPwacCJOtyFIAOIyI982YMgtv_VOCLahpRU?ext=png,0.00000000014943673607%
35,Habibti #3981,https://arweave.net/J-MTZPbESwFnCNF5vRim0E6SR5fsraFjlxnZ-hryLP4?ext=png,0.00000000017024890580%
36,Habibti #3876,https://arweave.net/keWlyNkoh4mJhLZ-hMTbhSZoRXfxWOyK7avldCXosaU?ext=png,0.00000000018088398805%
37,Habibti #514,https://arweave.net/1SCff0Tw2Dd0Bwx1sznp2D6znVYMiEtCVDshWtQDvBs?ext=png,0.00000000018651760179%
38,Habibti #4556,https://arweave.net/FOIJEBdvx9R4hQx7BxShffXTl2wsz_vh4kVpwatCTm8?ext=png,0.00000000019846829983%
